epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.858,1.18024,1.17982,1.46695,0.29229,0.36469,0.26644,0.12896,2.17873,5.96802,2.66698,0.000662366,0.000662366,0.000662366
2,102.385,1.3502,1.22929,1.583,0.43316,0.37294,0.37924,0.18132,2.21141,5.44122,3.16569,0.00130272,0.00130272,0.00130272
3,151.892,1.27318,1.15512,1.52586,0.55996,0.45875,0.4942,0.28548,1.66436,1.97401,2.07875,0.00191667,0.00191667,0.00191667
4,201.488,1.24763,1.12002,1.50397,0.60896,0.51815,0.59788,0.35742,1.53355,2.08101,1.86853,0.0018812,0.0018812,0.0018812
5,251.088,1.18442,1.06896,1.45167,0.78895,0.66832,0.76959,0.50156,1.2397,1.2488,1.63818,0.0018416,0.0018416,0.0018416
6,300.537,1.13078,1.00279,1.42323,0.68264,0.63201,0.67362,0.42944,1.31507,1.87525,1.63749,0.001802,0.001802,0.001802
7,349.851,1.0728,0.93407,1.38854,0.81058,0.71322,0.80382,0.54905,1.10483,0.96635,1.45884,0.0017624,0.0017624,0.0017624
8,399.234,1.04916,0.90243,1.35767,0.80293,0.74628,0.8158,0.5612,1.11157,0.98097,1.43442,0.0017228,0.0017228,0.0017228
9,448.464,1.02015,0.86467,1.34398,0.81055,0.66007,0.77083,0.56063,1.06968,0.94682,1.45266,0.0016832,0.0016832,0.0016832
10,497.701,0.99718,0.85192,1.33046,0.7666,0.71122,0.77891,0.52959,1.162,1.02968,1.49508,0.0016436,0.0016436,0.0016436
11,546.948,0.97702,0.83053,1.32416,0.80977,0.73055,0.82378,0.58498,1.06718,0.91562,1.42263,0.001604,0.001604,0.001604
12,596.015,0.95046,0.79511,1.28756,0.82693,0.74115,0.83328,0.60604,0.98973,0.84458,1.36216,0.0015644,0.0015644,0.0015644
13,645.119,0.9402,0.79317,1.29034,0.80087,0.75908,0.82945,0.60141,1.05505,0.84501,1.42525,0.0015248,0.0015248,0.0015248
